project_name;agent;shield;shield_memory;nu;safety_probability;full_safety_probability;goal_reachability;reward;shield_calls;blocked_actions;evaluation_time
collect;greedy-iter-500;constructed-self-constructing-unsafe;0;0.2;0.1999999999976196;0.1999999999976196;0.7456456875475356;33.11873732345649;41.13640494689345;10.635434453803459;199.23598289489746
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.01031592141641753;0.01031592141641753;0.8805013675145115;61.62015891320566;26.18227494695768;4.211071898733831;49.35828351974487
test-corridor;uniform_random;constructed-self-constructing-unsafe;0;0.2;0.20000000000000015;0.20000000000000015;0.19863105008581927;-21.747349336045573;41.31257580559006;32.516445569115405;171.9885184764862
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010320556054227721;0.010320556054227721;0.8806032415319741;61.63288593398275;26.179643343971815;4.206920434554616;49.54773783683777
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010326630901384278;0.010326630901384278;0.8807502929652145;61.65110331840076;26.176044306741638;4.201355472598272;50.105968952178955
dpm;greedy-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.09624769585189945;0.09625273962478859;0.20899929841527873;6.241416363132131;44.632804099984604;4.156449586827588;165.98161101341248
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010334581472978562;0.010334581472978562;0.8809749142254198;61.678828034074705;26.17055672031506;4.1928466222421745;50.078970432281494
test-corridor;uniform_random;constructed-self-constructing-unsafe;0;0.2;0.20000000000000015;0.20000000000000015;0.19867859884600092;-21.74119710467783;41.31098701681874;32.512603456287074;173.43711519241333
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.01033759969112378;0.01033759969112378;0.8811700144151605;61.70313767444217;26.165456181147107;4.185253456626095;50.82244110107422
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010347771972465412;0.010347771972465412;0.8813902594427515;61.73057668153993;26.159912609649812;4.176642203498899;51.06053566932678
dpm;greedy-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.0962948543632854;0.09629991710661456;0.20899490246119945;6.243991341581202;44.63284679567504;4.153855319482237;168.75329422950745
collect;greedy-iter-500;constructed-self-constructing-unsafe;0;0.2;0.1999999999976196;0.1999999999976196;0.7456498328309009;33.11917216467813;41.13637885400835;10.63531018485891;201.00765681266785
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010352192362006338;0.010352192362006338;0.8814883625082177;61.74261749291572;26.157598540116354;4.172934931926418;52.0869562625885
test-corridor;uniform_random;constructed-self-constructing-unsafe;0;0.2;0.20000000000000015;0.20000000000000015;0.1987133376129746;-21.736499171434897;41.30966578994109;32.51054244793895;175.50074100494385
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.01036471196713682;0.01036471196713682;0.8817274611549094;61.77233078865024;26.151532590917274;4.163461917305866;52.3265061378479
dpm;greedy-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.09634823443494805;0.09635332069970093;0.2089901861662225;6.246753189040415;44.632888634240274;4.150929622977154;169.46544480323792
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010372220017210512;0.010372220017210512;0.8819521089865973;61.80019604031034;26.14579905671246;4.154671874729448;53.137407302856445
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.01037705487780304;0.01037705487780304;0.8820879839872416;61.81700889112971;26.14244666722868;4.149529643120068;52.70456385612488
test-corridor;uniform_random;constructed-self-constructing-unsafe;0;0.2;0.20000000000000015;0.20000000000000015;0.19871855864143298;-21.735977781060917;41.30950370302067;32.50980798646827;176.16022419929504
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010388808460172962;0.010388808460172962;0.8823202654851079;61.84587193937705;26.136677654610953;4.140571756436565;52.75176405906677
dpm;greedy-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.09639229959609968;0.09639740793969599;0.20898643595759425;6.249107098048752;44.63292019853903;4.148521944533122;169.5309636592865
collect;greedy-iter-500;constructed-self-constructing-unsafe;0;0.2;0.1999999999976196;0.1999999999976196;0.7456498328309009;33.11917216467813;41.136378854008356;10.635310184858914;208.64343690872192
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010396561480790831;0.010396561480790831;0.8824987165876879;61.86807514544723;26.132170020754064;4.133595925739072;53.13027000427246
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010398785867752834;0.010398785867752834;0.8825563123137377;61.87523947614034;26.130724814285873;4.131445195051684;53.45556879043579
test-corridor;uniform_random;constructed-self-constructing-unsafe;0;0.2;0.20000000000000015;0.20000000000000015;0.19870314968842806;-21.73820039951339;41.31011132161481;32.509936149493385;176.98935914039612
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010406818234029438;0.010406818234029438;0.8827245320342985;61.896162343890246;26.126495826196727;4.1248271255673625;55.476704120635986
dpm;greedy-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.09644018721532294;0.09644531964632738;0.2089823180029484;6.2515397145498826;44.632955566982865;4.1459042887631865;172.35185408592224
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010416055550846832;0.010416055550846832;0.8830001602192787;61.930462090524486;26.119490645267128;4.1142500504249275;54.273305892944336
test-corridor;uniform_random;constructed-self-constructing-unsafe;0;0.2;0.20000000000000015;0.20000000000000015;0.19876748805574584;-21.729249443332606;41.30752185719651;32.50646279975056;178.45451068878174
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010425166375292276;0.010425166375292276;0.8832326170570101;61.959293804321085;26.113688705720925;4.105283270485469;54.677024841308594
collect;greedy-iter-500;constructed-self-constructing-unsafe;0;0.2;0.1999999999976196;0.1999999999976196;0.7457336981992427;33.12813108873433;41.135689060536;10.632654252435929;200.9448058605194
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010431486895806487;0.010431486895806487;0.883365342911735;61.97580441308933;26.110351140116457;4.100042016071901;55.51710748672485
dpm;greedy-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.09648765215594036;0.0964928042417402;0.20897809331128564;6.254131745885998;44.63299362367201;4.143302863923294;172.18811058998108
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010442699948854127;0.010442699948854127;0.8836544211665823;62.011765360824626;26.103075834218288;4.089048741516408;55.32524394989014
test-corridor;uniform_random;constructed-self-constructing-unsafe;0;0.2;0.20000000000000015;0.20000000000000015;0.1987788816324649;-21.727738302751526;41.30710756517528;32.505784557912754;180.92486953735352
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.01045205630295833;0.01045205630295833;0.8838795045143768;62.03981528163837;26.097352468801034;4.0802897182130495;57.575798988342285
dpm;greedy-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.09652634733332867;0.096531518985482;0.20897482868899178;6.2560718449916255;44.63302096093214;4.14119005680217;173.71492266654968
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.01045450293577395;0.01045450293577395;0.8839822392091564;62.05253569989501;26.094788345446705;4.076468218438725;55.857401847839355
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010462012210976097;0.010462012210976097;0.884156999192806;62.0742275176934;26.09040873799811;4.0696046284647736;56.23302483558655
test-corridor;uniform_random;constructed-self-constructing-unsafe;0;0.2;0.20000000000000015;0.20000000000000015;0.19879647844952297;-21.725557797139533;41.30656575378142;32.50379718448322;183.29456758499146
collect;greedy-iter-500;constructed-self-constructing-unsafe;0;0.2;0.1999999999976196;0.1999999999976196;0.7457336981992427;33.12813108873433;41.13568906053614;10.63265425243593;201.62490963935852
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010464655753699969;0.010464655753699969;0.8842085311973449;62.08053157120952;26.08921898879006;4.067654845170513;56.908364057540894
